Brand,Category,Item,Serving Size,Calories,Total Fat,Cholesterol (mg), Sodium (mg), Total Carbohydrates (g) , Sugars (g), Protein (g) ,Caffeine (mg)
Starbucks,Coffee & Tea,Hot Chocolate (Without Whipped Cream),Grande Nonfat Milk,240,2.5,48,5,140,41,14,25
Starbucks,Coffee & Tea,Hot Chocolate (Without Whipped Cream),2% Milk,290,9,47,25,160,41,14,25
Starbucks,Coffee & Tea,Hot Chocolate (Without Whipped Cream),Soymilk,250,7,41,0,125,32,12,25
Starbucks,Coffee & Tea,Hot Chocolate (Without Whipped Cream),Venti Nonfat Milk,320,3,63,10,180,55,18,30
Starbucks,Coffee & Tea,Hot Chocolate (Without Whipped Cream),2% Milk,380,11,63,35,200,54,17,30
Starbucks,Coffee & Tea,Hot Chocolate (Without Whipped Cream),Soymilk,330,9,55,0,160,44,15,30
Starbucks,Coffee & Tea,Caramel Apple Spice (Without Whipped Cream),Short,140,0,35,0,10,33,0,0
Starbucks,Coffee & Tea,Caramel Apple Spice (Without Whipped Cream),Tall,210,0,53,0,15,49,0,0
Starbucks,Coffee & Tea,Caramel Apple Spice (Without Whipped Cream),Grande,280,0,70,0,20,65,0,0
Starbucks,Coffee & Tea,Caramel Apple Spice (Without Whipped Cream),Venti,360,0,89,0,25,83,0,0
Starbucks,Beverages,TazoChai Tea Latte,Short Nonfat Milk,100,0,22,0,50,21,4,50
Starbucks,Beverages,TazoChai Tea Latte,2% Milk,120,0,22,10,55,21,4,50
Starbucks,Beverages,TazoChai Tea Latte,Soymilk,110,0,20,0,45,18,3,50
Starbucks,Beverages,TazoChai Tea Latte,Tall Nonfat Milk,160,0,34,5,80,32,6,70
Starbucks,Beverages,TazoChai Tea Latte,2% Milk,190,0.1,34,15,90,32,6,70
Starbucks,Beverages,TazoChai Tea Latte,Soymilk,160,2,31,0,70,28,5,70
Starbucks,Beverages,TazoChai Tea Latte,Grande Nonfat Milk,210,1.5,45,5,105,43,8,95
Starbucks,Beverages,TazoChai Tea Latte,2% Milk,240,0.2,45,20,115,42,8,95
Starbucks,Beverages,TazoChai Tea Latte,Soymilk,220,3.5,41,0,90,37,6,95
Starbucks,Beverages,TazoChai Tea Latte,Venti Nonfat Milk,260,2.5,57,5,135,54,10,120
Starbucks,Beverages,TazoChai Tea Latte,2% Milk,310,0.2,56,25,150,53,10,120
Starbucks,Beverages,TazoChai Tea Latte,Soymilk,280,4.5,51,0,115,46,8,120
Starbucks,Beverages,TazoGreen Tea Latte,Short Nonfat Milk,130,3.5,26,5,85,25,7,25
Starbucks,Beverages,TazoGreen Tea Latte,2% Milk,170,0.3,26,15,95,25,7,25
Starbucks,Beverages,TazoGreen Tea Latte,Soymilk,140,6,22,0,70,20,6,25
Starbucks,Beverages,TazoGreen Tea Latte,Tall Nonfat Milk,210,4.5,42,5,125,41,11,55
Starbucks,Beverages,TazoGreen Tea Latte,2% Milk,260,0.2,41,25,140,40,10,55
Starbucks,Beverages,TazoGreen Tea Latte,Soymilk,230,4,36,0,110,33,9,55
Starbucks,Beverages,TazoGreen Tea Latte,Grande Nonfat Milk,290,3,57,10,160,56,14,80
Starbucks,Beverages,TazoGreen Tea Latte,2% Milk,350,0.4,57,30,180,55,14,80
Starbucks,Beverages,TazoGreen Tea Latte,Soymilk,310,6,50,0,140,46,11,80
