Brand,Category,Item,Serving Size,Calories,Total Fat,Cholesterol,Sodium,Carbohydrates,Sugars,Protein
McDonald's,Snacks & Sides,Honey Mustard Snack Wrap (Grilled Chicken),116 g,250,8,45,650,27,2,16
McDonald's,Snacks & Sides,Ranch Snack Wrap (Crispy Chicken),128 g,360,20,40,810,32,3,15
McDonald's,Snacks & Sides,Ranch Snack Wrap (Grilled Chicken),121 g,280,13,45,720,25,2,16
McDonald's,Snacks & Sides,Small French Fries,75 g,230,11,0,130,30,0,2
McDonald's,Snacks & Sides,Medium French Fries,111 g,340,16,0,190,44,0,4
McDonald's,Snacks & Sides,Large French Fries,168 g,510,24,0,290,67,0,6
McDonald's,Snacks & Sides,Kids French Fries,38 g,110,5,0,65,15,0,1
McDonald's,Snacks & Sides,Side Salad,87 g,20,0,0,10,4,2,1
McDonald's,Snacks & Sides,Apple Slices,34 g,15,0,0,0,4,3,0
McDonald's,Snacks & Sides,Fruit 'n Yogurt Parfait,149 g,150,2,5,70,30,23,4
McDonald's,Desserts,Baked Apple Pie,77 g,250,13,0,170,32,13,2
McDonald's,Desserts,Chocolate Chip Cookie,33 g,160,8,10,90,21,15,2
McDonald's,Desserts,Oatmeal Raisin Cookie,33 g,150,6,10,135,22,13,2
McDonald's,Desserts,Kids Ice Cream Cone,29 g,45,1.5,5,20,7,6,1
McDonald's,Desserts,Hot Fudge Sundae,179 g,330,9,25,170,53,48,8
McDonald's,Desserts,Hot Caramel Sundae,182 g,340,8,30,150,60,43,7
McDonald's,Desserts,Strawberry Sundae,178 g,280,6,25,85,49,45,6
McDonald's,Beverages,Coca-Cola Classic (Small),500ml,140,0,0,0,39,39,0
McDonald's,Beverages,Coca-Cola Classic (Medium),600ml,200,0,0,5,55,55,0
McDonald's,Beverages,Coca-Cola Classic (Large),900ml,280,0,0,5,76,76,0
McDonald's,Beverages,Coca-Cola Classic (Child),400ml,100,0,0,0,28,28,0
McDonald's,Beverages,Diet Coke (Small),500ml,0,0,0,10,0,0,0
McDonald's,Beverages,Diet Coke (Medium),600ml,0,0,0,20,0,0,0
McDonald's,Beverages,Diet Coke (Large),900ml,0,0,0,35,0,0,0
McDonald's,Beverages,Diet Coke (Child),400ml,0,0,0,15,0,0,0
McDonald's,Beverages,Dr Pepper (Small),500ml,140,0,0,45,37,35,0
McDonald's,Beverages,Dr Pepper (Medium),600ml,190,0,0,65,53,51,0
McDonald's,Beverages,Dr Pepper (Large),900ml,270,0,0,90,72,70,0
McDonald's,Beverages,Dr Pepper (Child),400ml,100,0,0,30,27,26,0
McDonald's,Beverages,Diet Dr Pepper (Small),500ml,0,0,0,70,0,0,2
McDonald's,Beverages,Diet Dr Pepper (Medium),600ml,0,0,0,100,0,0,3
McDonald's,Beverages,Diet Dr Pepper (Large),900ml,0,0,0,140,0,0,4
McDonald's,Beverages,Diet Dr Pepper (Child),400ml,0,0,0,50,0,0,1
McDonald's,Beverages,Sprite (Small),500ml,140,0,0,30,37,37,0
McDonald's,Beverages,Sprite (Medium),600ml,200,0,0,45,54,54,0
McDonald's,Beverages,Sprite (Large),900ml,280,0,0,60,74,74,0
McDonald's,Beverages,Sprite (Child),400ml,100,0,0,25,27,27,0
McDonald's,Beverages,1% Low Fat Milk Jug,236ml,100,2.5,10,125,12,12,8
McDonald's,Beverages,Fat Free Chocolate Milk Jug,236ml,130,0,5,135,23,22,9
McDonald's,Beverages,Minute Maid 100% Apple Juice Box,177ml,80,0,0,15,21,19,0
McDonald's,Beverages,Minute Maid Orange Juice (Small),400ml,150,0,0,0,34,30,2
McDonald's,Beverages,Minute Maid Orange Juice (Medium),500ml,190,0,0,0,44,39,3
McDonald's,Beverages,Minute Maid Orange Juice (Large),700ml,280,0,0,5,65,58,4
McDonald's,Beverages,Dasani Water Bottle,500ml,0,0,0,0,0,0,0
McDonald's,Coffee & Tea,Iced Tea (Small),500ml,0,0,0,10,0,0,0
McDonald's,Coffee & Tea,Iced Tea (Medium),600ml,0,0,0,10,0,0,0
McDonald's,Coffee & Tea,Iced Tea (Large),900ml,0,0,0,15,0,0,0
McDonald's,Coffee & Tea,Iced Tea (Child),400ml,0,0,0,5,0,0,0
McDonald's,Coffee & Tea,Sweet Tea (Small),500ml,150,0,0,10,36,36,1
McDonald's,Coffee & Tea,Sweet Tea (Medium),600ml,180,0,0,10,45,45,1
McDonald's,Coffee & Tea,Sweet Tea (Large),900ml,220,0,0,10,54,54,1
McDonald's,Coffee & Tea,Sweet Tea (Child),400ml,110,0,0,5,27,27,0
McDonald's,Coffee & Tea,Coffee (Small),400ml,0,0,0,0,0,0,0
McDonald's,Coffee & Tea,Coffee (Medium),500ml,0,0,0,0,0,0,0
McDonald's,Coffee & Tea,Coffee (Large),500ml,0,0,0,0,0,0,0
McDonald's,Coffee & Tea,Latte (Small),400ml,170,9,25,115,15,12,9
McDonald's,Coffee & Tea,Latte (Medium),500ml,210,10,30,140,18,15,11
McDonald's,Coffee & Tea,Latte (Large),600ml,280,14,40,180,24,20,15
McDonald's,Coffee & Tea,Caramel Latte (Small),400ml,270,9,25,115,40,38,9
McDonald's,Coffee & Tea,Caramel Latte (Medium),500ml,340,10,30,140,50,48,11
McDonald's,Coffee & Tea,Caramel Latte (Large),600ml,430,14,40,180,62,59,15
McDonald's,Coffee & Tea,Hazelnut Latte (Small),400ml,270,9,25,115,40,38,9
McDonald's,Coffee & Tea,Hazelnut Latte (Medium),500ml,330,10,30,140,50,47,11
McDonald's,Coffee & Tea,Hazelnut Latte (Large),600ml,430,14,40,180,62,58,15
McDonald's,Coffee & Tea,French Vanilla Latte (Small),400ml,260,9,25,115,38,36,9
McDonald's,Coffee & Tea,French Vanilla Latte (Medium),500ml,330,10,30,140,48,45,11
McDonald's,Coffee & Tea,French Vanilla Latte (Large),600ml,420,14,40,190,60,56,15
McDonald's,Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Small),400ml,210,9,25,150,24,12,9
McDonald's,Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Medium),500ml,260,10,30,190,29,15,12
McDonald's,Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Large),600ml,330,14,40,240,37,20,15
McDonald's,Coffee & Tea,Nonfat Latte (Small),400ml,100,0,5,110,15,13,10
McDonald's,Coffee & Tea,Nonfat Latte (Medium),500ml,130,0,5,135,19,16,12
McDonald's,Coffee & Tea,Nonfat Latte (Large),600ml,170,0.5,10,180,25,21,16
McDonald's,Coffee & Tea,Nonfat Caramel Latte (Small),400ml,200,0,5,110,41,39,10
McDonald's,Coffee & Tea,Nonfat Caramel Latte (Medium),500ml,250,0,5,135,51,48,12
McDonald's,Coffee & Tea,Nonfat Caramel Latte (Large),600ml,310,0.5,10,180,63,59,16
McDonald's,Coffee & Tea,Nonfat Hazelnut Latte (Small),400ml,200,0,5,110,40,38,10
McDonald's,Coffee & Tea,Nonfat Hazelnut Latte (Medium),500ml,250,0,5,135,51,48,12
McDonald's,Coffee & Tea,Nonfat Hazelnut Latte (Large),600ml,310,0.5,10,180,63,59,16
McDonald's,Coffee & Tea,Nonfat French Vanilla Latte (Small),400ml,190,0,5,115,39,37,10
McDonald's,Coffee & Tea,Nonfat French Vanilla Latte (Medium),500ml,240,0,5,140,49,46,12
McDonald's,Coffee & Tea,Nonfat French Vanilla Latte (Large),600ml,300,0.5,10,180,60,56,16
McDonald's,Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Small),400ml,140,0,5,150,24,13,10
McDonald's,Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),500ml,170,0,5,180,30,16,12
McDonald's,Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Large),600ml,220,0.5,10,240,38,21,16
McDonald's,Coffee & Tea,Mocha (Small),400ml,340,11,35,150,49,42,10
McDonald's,Coffee & Tea,Mocha (Medium),500ml,410,14,40,190,60,53,13
McDonald's,Coffee & Tea,Mocha (Large),600ml,500,17,50,240,72,63,16
McDonald's,Coffee & Tea,Mocha with Nonfat Milk (Small),400ml,270,3.5,15,150,49,43,11
McDonald's,Coffee & Tea,Mocha with Nonfat Milk (Medium),500ml,330,3.5,15,190,60,53,13
McDonald's,Coffee & Tea,Mocha with Nonfat Milk (Large),600ml,390,4,20,240,73,64,17
McDonald's,Coffee & Tea,Caramel Mocha (Small),400ml,320,11,35,170,45,40,10
McDonald's,Coffee & Tea,Caramel Mocha (Medium),500ml,390,14,40,220,55,50,12
McDonald's,Coffee & Tea,Caramel Mocha (Large),600ml,480,17,50,270,66,60,16
McDonald's,Coffee & Tea,Nonfat Caramel Mocha (Small),400ml,250,3.5,15,170,45,41,10
McDonald's,Coffee & Tea,Nonfat Caramel Mocha (Medium),500ml,310,3.5,15,210,56,51,13
McDonald's,Coffee & Tea,Nonfat Caramel Mocha (Large),600ml,370,3.5,20,270,67,61,17
McDonald's,Coffee & Tea,Hot Chocolate (Small),400ml,360,13,40,180,50,45,11
McDonald's,Coffee & Tea,Hot Chocolate (Medium),500ml,440,16,50,220,61,56,14
McDonald's,Coffee & Tea,Hot Chocolate (Large),600ml,540,20,60,280,73,68,17
McDonald's,Coffee & Tea,Hot Chocolate with Nonfat Milk (Small),400ml,280,3.5,15,180,50,46,12
McDonald's,Coffee & Tea,Hot Chocolate with Nonfat Milk (Medium),500ml,340,3.5,15,220,61,57,14
McDonald's,Coffee & Tea,Hot Chocolate with Nonfat Milk (Large),600ml,400,3.5,20,280,74,69,19
McDonald's,Coffee & Tea,Regular Iced Coffee (Small),500ml,140,4.5,15,35,23,22,1
McDonald's,Coffee & Tea,Regular Iced Coffee (Medium),700ml,190,7,25,50,31,30,1
McDonald's,Coffee & Tea,Regular Iced Coffee (Large),900ml,270,9,35,75,47,45,2
McDonald's,Coffee & Tea,Caramel Iced Coffee (Small),500ml,130,4.5,15,35,22,21,1
McDonald's,Coffee & Tea,Caramel Iced Coffee (Medium),700ml,180,7,25,50,29,28,1
